destination,place,missing_fields
alappuzha,"Vembanad Lake","description|openingHours"
alappuzha,"Nehru Trophy Boat Race venue","description|openingHours"
alappuzha,"Alappuzha Beach","description|openingHours"
alappuzha,"Krishnapuram Palace","description|openingHours"
alappuzha,"Kuttanad Backwaters","description|openingHours"
amritsar,"Golden Temple","description|openingHours"
amritsar,"Jallianwala Bagh","description|openingHours"
amritsar,"Akal Takht","description|openingHours"
amritsar,"Central Sikh Museum","description|openingHours"
amritsar,"Durgiana Temple","description|openingHours"
amritsar,"Gurdwara Baba Atal","description|openingHours"
coorg,"Abbey Falls","description|openingHours"
coorg,"Raja's Seat","description|openingHours"
coorg,"Nagarhole National Park","description|openingHours"
coorg,"Dubare Elephant Camp","description|openingHours"
coorg,"Talakaveri","description|openingHours"
hampi,"Virupaksha Temple","description|openingHours"
hampi,"Stone Chariot, Vitthala Temple","description|openingHours"
hampi,"Lotus Mahal","description|openingHours"
hampi,"Elephant Stables","description|openingHours"
hampi,"Hampi Boulders","description|openingHours"
hampi,"Matanga Hill","description|openingHours"
haridwar,"Har Ki Pauri","description|openingHours"
haridwar,"Mansa Devi Temple","description|openingHours"
haridwar,"Chandi Devi Temple","description|openingHours"
haridwar,"Daksha Mahadev Temple","description|openingHours"
haridwar,"Sapt Rishi Ashram","description|openingHours"
jaipur,"Rambagh Palace","openingHours"
jaisalmer,"Jaisalmer Fort","description|openingHours"
jaisalmer,"Sam Sand Dunes","description|openingHours"
jaisalmer,"Patwon Ki Haveli","description|openingHours"
jaisalmer,"Salim Singh Ki Haveli","description|openingHours"
jaisalmer,"Gadisar Lake","description|openingHours"
jaisalmer,"Kuldhara Abandoned Village","description|openingHours"
jodhpur,"Balsamand Lake","openingHours"
jodhpur,"Osian","openingHours"
khajuraho,"Kandariya Mahadeva Temple","description|openingHours"
khajuraho,"Lakshmana Temple, Khajuraho","description|openingHours"
khajuraho,"Chaturbhuj Temple, Khajuraho","description|openingHours"
khajuraho,"Parsvanatha Temple, Khajuraho","description|openingHours"
kochi,"Paradesi Synagogue","description|openingHours"
kochi,"Mattancherry Palace","description|openingHours"
kochi,"Santa Cruz Cathedral Basilica","description|openingHours"
kochi,"Indo-Portuguese Museum","description|openingHours"
kochi,"Cochin Port Maritime Heritage Museum","description|openingHours"
orchha,"Jehangir Mahal, Orchha","description|openingHours"
orchha,"Ram Raja Temple, Orchha","description|openingHours"
orchha,"Chaturbhuj Temple, Orchha","description|openingHours"
orchha,"Orchha Wildlife Sanctuary","description|openingHours"
panaji,"Our Lady of the Immaculate Conception Church","description|openingHours"
panaji,"Fontainhas","description|openingHours"
panaji,"Adil Shah Palace","description|openingHours"
panaji,"Kala Academy","description|openingHours"
panaji,"Salim Ali Bird Sanctuary","description|openingHours"
pangong-lake,"Pangong Tso","description|openingHours"
pangong-lake,"Spangmik Village","description|openingHours"
pondicherry,"Auroville","description|openingHours"
pondicherry,"Sri Aurobindo Ashram","description|openingHours"
pondicherry,"Promenade Beach","description|openingHours"
pondicherry,"French Quarter (White Town)","description|openingHours"
pondicherry,"Basilica of the Sacred Heart of Jesus","description|openingHours"
