destination_id,name,state,region,type,styles,best_season,latitude,longitude,source_type,data_status,confidence
dest_baratang-island_andaman-and-nicobar-islands,Baratang Island,Andaman and Nicobar Islands,Southern India,Island,"[""Adventure"",""Nature"",""Offbeat"",""Forest Trail""]",November – May,12.1167,92.7833,kaggle_destination,candidate,0.7
dest_diglipur_andaman-and-nicobar-islands,Diglipur,Andaman and Nicobar Islands,Southern India,Beach,"[""Adventure"",""Beach"",""Nature"",""Trek""]",November – April,13.2678,93.0033,kaggle_destination,candidate,0.7
dest_havelock-island_andaman-and-nicobar-islands,Havelock Island,Andaman and Nicobar Islands,,city,,,,,kaggle_place_city,candidate,0.6
dest_long-island_andaman-and-nicobar-islands,Long Island,Andaman and Nicobar Islands,Southern India,Island,"[""Beach"",""Nature"",""Peaceful Retreat"",""Offbeat""]",November – April,12.3942,92.9308,kaggle_destination,candidate,0.7
dest_neil-island_andaman-and-nicobar-islands,Neil Island,Andaman and Nicobar Islands,,city,,,,,kaggle_place_city,candidate,0.6
dest_port-blair_andaman-and-nicobar-islands,Port Blair,Andaman and Nicobar Islands,,city,,,,,kaggle_place_city,candidate,0.6
dest_amravati_andhra-pradesh,Amravati,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_anantapur_andhra-pradesh,Anantapur,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_araku-valley_andhra-pradesh,Araku Valley,Andhra Pradesh,Southern India,Valley,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,18.32344,82.88058,kaggle_destination,candidate,0.7
dest_belum-caves_andhra-pradesh,Belum Caves,Andhra Pradesh,Southern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,15.10218,78.11167,kaggle_destination,candidate,0.7
dest_borra-caves_andhra-pradesh,Borra Caves,Andhra Pradesh,Southern India,Mountain,"[""Nature"",""Trekking"",""Bird Watching"",""Nature Walk"",""Photography""]",Winter – Spring,18.29391,83.05973,kaggle_destination,candidate,0.7
dest_coringa-wildlife-sanctuary_andhra-pradesh,Coringa Wildlife Sanctuary,Andhra Pradesh,Southern India,Mountain,"[""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,16.83139,82.33667,kaggle_destination,candidate,0.7
dest_gandikota_andhra-pradesh,Gandikota,Andhra Pradesh,Southern India,Valley,"[""Adventure"",""Photography"",""Nature""]",October – February,14.81499,78.287,kaggle_destination,candidate,0.7
dest_guntur_andhra-pradesh,Guntur,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_hope-island_andhra-pradesh,Hope Island,Andhra Pradesh,Southern India,Island,"[""Beach"",""Swimming"",""Sunbathing"",""Beach Walks"",""Boat Ride""]",Winter – Spring,16.92362,82.36267,kaggle_destination,candidate,0.7
dest_horsley-hills_andhra-pradesh,Horsley Hills,Andhra Pradesh,Southern India,Mountain,"[""Nature"",""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,13.65087,78.39653,kaggle_destination,candidate,0.7
dest_kadapa_andhra-pradesh,Kadapa,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_kondapalli-fort_andhra-pradesh,Kondapalli Fort,Andhra Pradesh,Southern India,Village,"[""Culture"",""Trekking"",""Bird Watching"",""Nature Walk"",""Photography""]",Winter – Spring,16.62505,80.53052,kaggle_destination,candidate,0.7
dest_kurnool_andhra-pradesh,Kurnool,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_lambasingi_andhra-pradesh,Lambasingi,Andhra Pradesh,Southern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,17.81818,82.49272,kaggle_destination,candidate,0.7
dest_lepakshi_andhra-pradesh,Lepakshi,Andhra Pradesh,Southern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,13.80316,77.60975,kaggle_destination,candidate,0.7
dest_maredumilli_andhra-pradesh,Maredumilli,Andhra Pradesh,Southern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,17.5989,81.7121,kaggle_destination,candidate,0.7
dest_orvakal-rock-garden_andhra-pradesh,Orvakal Rock Garden,Andhra Pradesh,Southern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Winter – Spring,15.69184,78.15177,kaggle_destination,candidate,0.7
dest_puttaparthi_andhra-pradesh,Puttaparthi,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_rajahmundry_andhra-pradesh,Rajahmundry,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_srisailam_andhra-pradesh,Srisailam,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_talakona-waterfall_andhra-pradesh,Talakona Waterfall,Andhra Pradesh,Southern India,Mountain,"[""Nature"",""Wildlife"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Winter – Spring,13.81166,79.21578,kaggle_destination,candidate,0.7
dest_vijayawada_andhra-pradesh,Vijayawada,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_visakhapatnam_andhra-pradesh,Visakhapatnam,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_vizianagaram_andhra-pradesh,Vizianagaram,Andhra Pradesh,,city,,,,,kaggle_place_city,candidate,0.6
dest_along-aalo_arunachal-pradesh,Along (Aalo),Arunachal Pradesh,Northeastern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,28.16786,94.79883,kaggle_destination,candidate,0.7
dest_anini_arunachal-pradesh,Anini,Arunachal Pradesh,Northeastern India,Mountain,"[""Nature"",""Nature Walks"",""Photography"",""Local Sightseeing"",""Bird Watching""]",Summer – Spring,28.79693,95.90448,kaggle_destination,candidate,0.7
dest_bhalukpong_arunachal-pradesh,Bhalukpong,Arunachal Pradesh,Northeastern India,Mountain,"[""Trekking"",""Bird Watching"",""Nature Walk"",""Photography""]",Summer – Spring,27.01372,92.63581,kaggle_destination,candidate,0.7
dest_bomdila_arunachal-pradesh,Bomdila,Arunachal Pradesh,Northeastern India,Trek,"[""Nature"",""Adventure"",""Trekking"",""Camping"",""Rock Climbing"",""Bird Watching""]",Summer – Spring,27.26444,92.42065,kaggle_destination,candidate,0.7
